PROMO_ID,PRODUCT_ID,LOCATION_ID,CUSTOMER_ID,DISTR_CHANNEL_ID,PERIOD_START_DT,PERIOD_END_DT,PROMO_PRICE,PROMO_TYPE,MODIFIED_DTTM,DELETE_FLG
47,8000054507,5637144625,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
48,8000054507,5637144625,,,04APR2016,02MAY2016,1169.4,1,28MAY2021:14:34:36,0
49,8000054507,5637144625,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
50,8000054507,5637144625,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
51,8000054507,5637144625,,,31OCT2016,02JAN2017,1071.951429,1,28MAY2021:14:34:36,0
52,8000054507,5637144625,,,19DEC2016,02JAN2017,1071.951429,2,28MAY2021:14:34:36,0
53,8000054507,5637144625,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
54,8000054507,5637144625,,,20FEB2017,06MAR2017,1225.085714,1,28MAY2021:14:34:36,0
55,8000054507,5637144625,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
56,8000054507,5637144625,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
57,8000054507,5637144625,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
58,8000054507,5637144625,,,26MAR2018,26MAR2018,1113.714286,1,28MAY2021:14:34:36,0
59,8000054507,5637144625,,,09APR2018,30APR2018,779.6,1,28MAY2021:14:34:36,0
60,8000054507,5637144625,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
61,8000054507,5637144625,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
62,8000054507,5637144625,,,18FEB2019,25FEB2019,1259.4,1,28MAY2021:14:34:36,0
63,8000054507,5637144625,,,03JUN2019,01JUL2019,1399.3333333,1,28MAY2021:14:34:36,0
64,8000054507,5637144625,,,29JUL2019,12AUG2019,2099,1,28MAY2021:14:34:36,0
65,8000054507,5637144625,,,09SEP2019,30SEP2019,1049.5,1,28MAY2021:14:34:36,0
66,8000054507,5637144625,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
67,8000054507,5637144625,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
68,8000054507,5637144625,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
213,8000054507,5637144767,,,21DEC2015,28DEC2015,749.54,1,28MAY2021:14:34:36,0
214,8000054507,5637144767,,,04APR2016,02MAY2016,749.54,1,28MAY2021:14:34:36,0
215,8000054507,5637144767,,,11JUL2016,18JUL2016,749.54,1,28MAY2021:14:34:36,0
216,8000054507,5637144767,,,29AUG2016,03OCT2016,749.54,1,28MAY2021:14:34:36,0
217,8000054507,5637144767,,,31OCT2016,02JAN2017,749.54,1,28MAY2021:14:34:36,0
218,8000054507,5637144767,,,30JAN2017,06FEB2017,749.54,1,28MAY2021:14:34:36,0
219,8000054507,5637144767,,,20FEB2017,06MAR2017,749.54,1,28MAY2021:14:34:36,0
220,8000054507,5637144767,,,03APR2017,31JUL2017,749.54,1,28MAY2021:14:34:36,0
221,8000054507,5637144767,,,04SEP2017,11DEC2017,749.54,1,28MAY2021:14:34:36,0
274,8000054507,5637144813,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
275,8000054507,5637144813,,,04APR2016,02MAY2016,1113.714286,1,28MAY2021:14:34:36,0
276,8000054507,5637144813,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
277,8000054507,5637144813,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
278,8000054507,5637144813,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
279,8000054507,5637144813,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
280,8000054507,5637144813,,,20FEB2017,06MAR2017,1225.085714,1,28MAY2021:14:34:36,0
281,8000054507,5637144813,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
282,8000054507,5637144813,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
283,8000054507,5637144813,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
284,8000054507,5637144813,,,26MAR2018,26MAR2018,974.5,1,28MAY2021:14:34:36,0
285,8000054507,5637144813,,,09APR2018,30APR2018,974.5,1,28MAY2021:14:34:36,0
286,8000054507,5637144813,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
287,8000054507,5637144813,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
288,8000054507,5637144813,,,18FEB2019,25FEB2019,1611.75,1,28MAY2021:14:34:36,0
289,8000054507,5637144813,,,03JUN2019,01JUL2019,1574.25,1,28MAY2021:14:34:36,0
290,8000054507,5637144813,,,29JUL2019,12AUG2019,2099,1,28MAY2021:14:34:36,0
291,8000054507,5637144813,,,09SEP2019,30SEP2019,1724.1785714,1,28MAY2021:14:34:36,0
292,8000054507,5637144813,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
293,8000054507,5637144813,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
294,8000054507,5637144813,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
1111,8000054507,5637145298,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
1112,8000054507,5637145298,,,04APR2016,02MAY2016,1030.185714,1,28MAY2021:14:34:36,0
1113,8000054507,5637145298,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
1114,8000054507,5637145298,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
1115,8000054507,5637145298,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
1116,8000054507,5637145298,,,19DEC2016,02JAN2017,974.5,2,28MAY2021:14:34:36,0
1117,8000054507,5637145298,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
1118,8000054507,5637145298,,,20FEB2017,06MAR2017,1225.085714,1,28MAY2021:14:34:36,0
1119,8000054507,5637145298,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
1120,8000054507,5637145298,,,29JAN2018,29JAN2018,1151.999286,1,28MAY2021:14:34:36,0
1121,8000054507,5637145298,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
1122,8000054507,5637145298,,,26MAR2018,26MAR2018,1058.028571,1,28MAY2021:14:34:36,0
1123,8000054507,5637145298,,,09APR2018,30APR2018,1010.5925926,1,28MAY2021:14:34:36,0
1124,8000054507,5637145298,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
1125,8000054507,5637145298,,,17DEC2018,31DEC2018,1169.3428571,1,28MAY2021:14:34:36,0
1126,8000054507,5637145298,,,18FEB2019,25FEB2019,1259.4,1,28MAY2021:14:34:36,0
1127,8000054507,5637145298,,,03JUN2019,01JUL2019,1394.1071429,1,28MAY2021:14:34:36,0
1128,8000054507,5637145298,,,29JUL2019,12AUG2019,2099,1,28MAY2021:14:34:36,0
1129,8000054507,5637145298,,,09SEP2019,30SEP2019,1259,1,28MAY2021:14:34:36,0
1130,8000054507,5637145298,,,04NOV2019,02DEC2019,1124.4642857,1,28MAY2021:14:34:36,0
1131,8000054507,5637145298,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
1132,8000054507,5637145298,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
1527,8000054507,5637145506,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
1528,8000054507,5637145506,,,04APR2016,02MAY2016,1030.185714,1,28MAY2021:14:34:36,0
1529,8000054507,5637145506,,,11JUL2016,18JUL2016,1011.62381,1,28MAY2021:14:34:36,0
1530,8000054507,5637145506,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
1531,8000054507,5637145506,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
1532,8000054507,5637145506,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
1533,8000054507,5637145506,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
1534,8000054507,5637145506,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
1535,8000054507,5637145506,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
1536,8000054507,5637145506,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
1537,8000054507,5637145506,,,26MAR2018,26MAR2018,1169.4,1,28MAY2021:14:34:36,0
1538,8000054507,5637145506,,,09APR2018,30APR2018,974.5,1,28MAY2021:14:34:36,0
1539,8000054507,5637145510,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
1540,8000054507,5637145510,,,04APR2016,02MAY2016,1030.185714,1,28MAY2021:14:34:36,0
1541,8000054507,5637145510,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
1542,8000054507,5637145510,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
1543,8000054507,5637145510,,,31OCT2016,02JAN2017,1120.677143,1,28MAY2021:14:34:36,0
1544,8000054507,5637145510,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
1545,8000054507,5637145510,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
1546,8000054507,5637145510,,,03APR2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
1547,8000054507,5637145510,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
1548,8000054507,5637145510,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
1549,8000054507,5637145510,,,26MAR2018,26MAR2018,1169.4,1,28MAY2021:14:34:36,0
1550,8000054507,5637145510,,,09APR2018,30APR2018,1514.9789916,1,28MAY2021:14:34:36,0
1551,8000054507,5637145510,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
1552,8000054507,5637145510,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
1553,8000054507,5637145510,,,18FEB2019,25FEB2019,1394.3357143,1,28MAY2021:14:34:36,0
1554,8000054507,5637145510,,,03JUN2019,01JUL2019,1364.35,1,28MAY2021:14:34:36,0
1555,8000054507,5637145510,,,29JUL2019,12AUG2019,934.17032967,1,28MAY2021:14:34:36,0
1556,8000054507,5637145510,,,09SEP2019,30SEP2019,242.19230769,1,28MAY2021:14:34:36,0
1557,8000054507,5637145510,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
1558,8000054507,5637145510,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
