period_dt,period_end_dt,product_id,location_id,status,tgt_qty,sales_amount,returns_qty,returns_amount,promo_flg,promo_id,cost,modified_dttm,delete_flg,stock_qty,period_start_dt,period_end_dt_promo,promo_price,sum_tgt_qty,closed_flg,deficit_flg1,mean,std,count_nondefecit_days,Threshold,deficit_flg2,tgt_qty_r
2018-04-01,2019-10-31,8000054507,5637144625,maturity,13.0,11694.0,0.0,0.0,1.0,,717.5,28MAY2021:14:34:35,0.0,2.0,,,,13.0,1.0,0.0,13.0,1.0,1.0,11.0,0.0,13.0
2018-04-01,2019-10-31,8000054507,5637145838,maturity,2.0,1949.0,0.0,0.0,1.0,,717.5,28MAY2021:14:34:35,0.0,1.0,,,,11.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2018-04-01,2019-10-31,9000271526,5637145838,maturity,9.0,29396.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,11.0,1.0,1.0,9.0,1.0,1.0,7.0,1.0,9.0
2018-04-01,2019-10-31,8000054507,5637149014,maturity,22.0,21439.0,0.0,0.0,1.0,,717.5,28MAY2021:14:34:35,0.0,0.0,,,,118.0,1.0,0.0,22.0,1.0,1.0,20.0,0.0,22.0
2018-04-01,2019-10-31,8000089444,5637149014,maturity,10.0,40995.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,9.0,,,,118.0,1.0,0.0,10.0,1.0,1.0,8.0,0.0,10.0
2018-04-01,2019-10-31,9000271526,5637149014,maturity,85.0,316007.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,4.0,,,,118.0,1.0,0.0,85.0,1.0,1.0,83.0,0.0,85.0
2018-04-01,2019-10-31,9000400501,5637149014,maturity,1.0,3500.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,729.0,,,,118.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2018-04-01,2019-10-31,8000054507,5637149018,maturity,8.0,9745.0,0.0,0.0,1.0,,717.5,28MAY2021:14:34:35,0.0,55.0,,,,10.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,8.0
2018-04-01,2019-10-31,8000089444,5637149018,maturity,2.0,8199.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,26.0,,,,10.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2018-04-01,2019-10-31,8000054507,7000010505,maturity,6.0,7796.0,0.0,0.0,1.0,,717.5,28MAY2021:14:34:35,0.0,22.0,,,,6.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,6.0
2018-04-01,2019-10-31,8000089444,5637145298,maturity,1.0,8199.0,0.0,0.0,0.0,,3753.0,28MAY2021:14:34:35,0.0,25.0,,,,93.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2018-04-01,2019-10-31,9000271526,5637145298,maturity,92.0,338054.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,93.0,1.0,0.0,92.0,1.0,1.0,90.0,0.0,92.0
2018-04-01,2019-10-31,8000089444,5637145506,maturity,12.0,49194.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,0.0,,,,12.0,1.0,0.0,12.0,1.0,1.0,10.0,0.0,12.0
2018-04-01,2019-10-31,8000089444,5637145514,maturity,8.0,32796.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,0.0,,,,29.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,8.0
2018-04-01,2019-10-31,9000271526,5637145514,maturity,21.0,80839.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,29.0,1.0,0.0,21.0,1.0,1.0,19.0,0.0,21.0
2018-04-01,2019-10-31,8000089444,5637146303,maturity,50.0,204975.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,0.0,,,,50.0,1.0,0.0,50.0,1.0,1.0,48.0,0.0,50.0
2018-04-01,2019-10-31,8000089444,5637146393,maturity,98.0,401751.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,42.0,,,,437.0,1.0,0.0,98.0,1.0,1.0,96.0,0.0,98.0
2018-04-01,2019-10-31,9000271526,5637146393,maturity,339.0,1249330.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,6.0,,,,437.0,1.0,0.0,339.0,1.0,1.0,337.0,0.0,339.0
2018-04-01,2019-10-31,8000089444,5637149122,maturity,113.0,459144.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,63.0,,,,114.0,1.0,0.0,113.0,1.0,1.0,111.0,0.0,113.0
2018-04-01,2019-10-31,9000400501,5637149122,maturity,1.0,2500.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,591.0,,,,114.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2018-04-01,2019-10-31,8000089444,5637149282,maturity,10.0,40995.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,9.0,,,,10.0,1.0,0.0,10.0,1.0,1.0,8.0,0.0,10.0
2018-04-01,2019-10-31,8000089444,5637151351,maturity,3.0,8199.0,0.0,0.0,1.0,,3753.0,28MAY2021:14:34:35,0.0,0.0,,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
2018-04-01,2019-10-31,9000271526,5637145681,maturity,40.0,146980.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,40.0,1.0,0.0,40.0,1.0,1.0,38.0,0.0,40.0
2018-04-01,2019-10-31,9000271526,5637146282,maturity,24.0,88188.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,24.0,1.0,0.0,24.0,1.0,1.0,22.0,0.0,24.0
2018-04-01,2019-10-31,9000271526,5637147471,maturity,5.0,22047.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,5.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0
2018-04-01,2019-10-31,9000271526,5637147582,maturity,8.0,29396.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,50.0,,,,10.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,8.0
2018-04-01,2019-10-31,9000400501,5637147582,maturity,2.0,6600.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,293.0,,,,10.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2018-04-01,2019-10-31,9000271526,5637149138,maturity,34.0,124933.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,34.0,1.0,0.0,34.0,1.0,1.0,32.0,0.0,34.0
2018-04-01,2019-10-31,9000271526,5637149921,maturity,8.0,29396.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,10.0,,,,8.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,8.0
2018-04-01,2019-10-31,9000271526,5637150141,maturity,92.0,338054.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,0.0,,,,92.0,1.0,0.0,92.0,1.0,1.0,90.0,0.0,92.0
2018-04-01,2019-10-31,9000271526,9000026250,maturity,182.0,672433.5,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,12.0,,,,182.0,1.0,0.0,182.0,1.0,1.0,180.0,0.0,182.0
2018-04-01,2019-10-31,9000271526,9000099755,maturity,2.0,7349.0,0.0,0.0,1.0,,3150.0,28MAY2021:14:34:35,0.0,22.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2018-04-01,2019-10-31,9000400501,5637149542,maturity,1.0,4000.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,291.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2018-04-01,2019-10-31,9000400501,5637149835,maturity,2.0,6000.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,457.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2018-04-01,2019-10-31,9000400501,5637151774,maturity,1.0,3000.0,0.0,0.0,0.0,,4.43,28MAY2021:14:34:35,0.0,297.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
